↑  Dept,Division,Course,Last Name,First Name,Term,Year,Item 11. I found the course intellectually stimulating.,Item 22. The course provided me with a deeper understanding of the subject matter.,Item 33. The instructor created a course atmosphere that was conducive to my learning.,"Item 44. Course projects, assignments, tests and/or exams improved my understanding of the course material.","Item 55. Course projects, assignments, tests and/or exams provided opportunity for me to demonstrate an understanding of the course material.","Item 66. Overall, the quality of my learning experience in this course was:",Instructor generated enthusiasm,Course Workload,I would recommend this course,Number of Students Invited,Number of Respondents
ANA,ARTSC,Human Embryology ANA301H1-S-LEC0101,Taylor,Ian,Winter,2015,4.2,4.4,3.3,3.2,3.2,3.6,3.5,3.8,3.6,294,82
ANA,ARTSC,Human Embryology ANA301H1-S-LEC0101,Wiley,Mike,Winter,2015,4.2,4.4,4.1,3.2,3.2,3.6,4,3.8,3.6,294,82
ANA,ARTSC,Anatomy Dissections ANA400H1-S-LEC0101,Taylor,Ian,Winter,2015,5,5,5,4.9,4.9,5,5,4,5,19,10
ANA,ARTSC,Human Anat Histol -ANA300Y1-LEC0101,Ballyk,Barbara,Winter,2013,4.6,4.7,4.8,4.4,4.4,4.5,N/A,4.1,4.4,254,143
ANA,ARTSC,Human Embryology -ANA301H1-LEC0101,Morshead,Cindi,Winter,2013,4.4,4.5,3.7,3.9,3.9,4,N/A,3.6,4.1,404,189
ANA,ARTSC,Human Embryology -ANA301H1-LEC0101,Taylor,Ian,Winter,2013,4.4,4.5,3.7,3.9,3.9,4,N/A,3.6,4.1,404,189
ANA,ARTSC,Human Embryology -ANA301H1-LEC0101,Wiley,Mike,Winter,2013,4.4,4.5,4.5,3.9,3.9,4,N/A,3.6,4.1,404,189
ANA,ARTSC,Human Anat Histol ANA300Y1-LEC0101,Ballyk,Barbara,Winter,2014,4.7,4.8,4.8,4.3,4.3,4.5,4.9,4.4,4.5,273,140
ANA,ARTSC,Human Embryology ANA301H1-LEC0101,Morshead,Cindi,Winter,2014,4.3,4.4,3.6,3.6,3.5,3.7,3.8,3.7,3.8,415,131
ANA,ARTSC,Human Embryology ANA301H1-LEC0101,Taylor,Ian,Winter,2014,4.3,4.4,3.5,3.6,3.5,3.7,3.8,3.7,3.8,415,131
ANA,ARTSC,Human Embryology ANA301H1-LEC0101,Wiley,Mike,Winter,2014,4.3,4.4,4.4,3.6,3.5,3.7,4.3,3.7,3.8,415,131
ANA,ARTSC,Human Anat Histol ANA300Y1-LEC0101,Laprade,Judith,Summer,2013,4.7,4.7,4.7,4.5,4.4,4.3,N/A,4.2,4.1,83,11
ANA,ARTSC,Human Anat Histol ANA300Y1-LEC0101,Sun,Hong Shuo,Summer,2013,4.7,4.7,3.2,4.5,4.4,4.3,N/A,4.2,4.1,83,11
ANA,ARTSC,Human Anat Histol ANA300Y1-LEC0101,Bidmos,Mubarak,Summer,2014,4.4,4.6,4.2,4.2,4.3,4.1,4.4,4.3,4.2,101,38
ANA,ARTSC,Human Anat Histol ANA300Y1-LEC0101,Laprade,Judith,Summer,2014,4.4,4.6,4.7,4.2,4.3,4.1,4.7,4.3,4.2,101,38
ANA,ARTSC,Human Anat Histol ANA300Y1-LEC0101,Sun,Hong-Shuo,Summer,2014,4.4,4.6,2.5,4.2,4.3,4.1,2.9,4.3,4.2,101,38
ANA-ARTSC,ARTSC,Human Anat Histol ANA300Y1-Y-LEC0101,Ballyk,Barbara,Winter,2019,4.61,4.7,4.7,4.1,4.2,4.3,4.7,4.3,4,281,203
ANA-ARTSC,ARTSC,Anatomy Dissections ANA400H1-S-LEC0101,Bentley,Danielle,Winter,2019,4.87,4.9,4.7,4.7,4.7,4.7,4.8,4.1,4.9,15,15
ANA-ARTSC,ARTSC,Human Embryology ANA301H1-S-LEC0101,Bentley,Danielle,Winter,2019,4.67,4.8,4.8,4.3,4.2,4.4,4.9,4.1,4.1,190,96
ANA-ARTSC,ARTSC,Anatomy in Application ANA411H1-S-LEC0101,Laprade,Judith,Winter,2019,4.9,4.9,4.8,4.6,4.7,4.9,5,4,4.6,13,10
ANA-ARTSC,ARTSC,Human Anat Histol ANA300Y1-Y-LEC0101,Lisk,Kristina,Summer,2019,4.5,4.8,4.8,4.2,4.1,4.3,4.8,4.0,4.2,81,45
ANA-ARTSC,ARTSC,Human Anat Histol ANA300Y1-Y-LEC0101,Faiz,Maryam,Fall,2018,4.6,4.8,3.8,4.2,4.3,4.3,4.1,4.2,4.1,355,92
ANT,ARTSC,Intro Anthropology ANT100Y1-Y-LEC2501,Friesen,T,Winter,2018,3.4,4.1,3.4,2.9,3.2,3.4,2.9,2.1,3.8,43,10
ANT,ARTSC,Intro Anthropology ANT100Y1-Y-LEC2501,Kalmar,Ivan,Winter,2018,3.4,4.1,3.9,2.9,3.2,3.4,3.7,2.1,3.8,43,10
ANT,ARTSC,Intro Anthropology ANT100Y1-Y-LEC2501,Lehman,Shawn,Winter,2018,3.4,4.1,4.7,2.9,3.2,3.4,4.7,2.1,3.8,43,10
ANT,ARTSC,Intro Anthropology ANT100Y1-Y-LEC5101,Friesen,T,Winter,2018,3.7,3.9,3.4,3.5,3.5,3.4,3.4,2.8,3.6,743,221
ANT,ARTSC,Intro Anthropology ANT100Y1-Y-LEC5101,Kalmar,Ivan,Winter,2018,3.7,3.9,4.1,3.5,3.5,3.4,4.1,2.8,3.6,743,221
ANT,ARTSC,Intro Anthropology ANT100Y1-Y-LEC5101,Lehman,Shawn,Winter,2018,3.7,3.9,4.4,3.5,3.5,3.4,4.4,2.8,3.6,743,221
ANT,ARTSC,Intro Archaeology ANT200Y1-Y-LEC0101,Patton,Anna,Winter,2018,3.9,4.2,4.1,3.8,3.9,3.7,4.2,3.2,3.8,125,41
ANT,ARTSC,Nature of Humans ANT203Y1-Y-LEC5101,Viola,T.,Winter,2018,4,4.2,3.7,3.7,3.6,3.6,4,2.9,3.6,117,41
ANT,ARTSC,Diversity ANT327H1-S-LEC0101,Davidson,Lisa,Winter,2018,4.4,4.6,4.4,4.3,4.6,3.9,4.4,3.4,4.1,27,23
ANT,ARTSC,Human Evolution ANT335Y1-Y-LEC0101,Eastham,Laura,Winter,2018,4.7,4.8,4.9,4.6,4.5,4.7,4.9,2.9,4.6,32,28
ANT,ARTSC,Evol Anth Theory ANT336H1-S-LEC0101,Viola,T.,Winter,2018,4.2,4.2,4.6,4.3,4.2,4.2,4.7,3.3,4.2,32,12
ANT,ARTSC,China in Transition ANT341H1-S-LEC0101,Sung,Wen-Ching,Winter,2018,4.1,4.5,4.5,4.3,4.4,4.4,4.4,3.1,4.4,29,21
ANT,ARTSC,Social Ant of Gender ANT343H1-S-LEC5101,Dave,Prakruti,Winter,2018,4.6,4.7,4.3,4.1,4.1,4.1,4.7,3.8,4.4,45,14
ANT,ARTSC,Anthropology of Activism ANT366H1-S-LEC0101,Song,Jesook,Winter,2018,3.6,3.4,3.4,3.1,3.2,2.9,3.6,3.1,2.6,43,14
ANT,ARTSC,Human Nutrition Ecol ANT371H1-S-LEC0101,Bolt,Laura,Winter,2018,3.8,4,3.7,3.6,3.6,3.4,3.8,3.1,3.8,52,22
ANT,ARTSC,Craft Soc Cult Ant ANT380H1-S-LEC0101,Sammons,Edward,Winter,2018,4.4,4.3,4.7,4.3,4.6,4.3,4.9,4.2,4.3,25,10
ANT,ARTSC,Lang in Ant Thought ANT425H1-S-LEC0101,Luong,Hy,Winter,2018,4.8,4.2,4.4,4.4,4.4,4.2,4.6,3.6,4,22,6
ANT,ARTSC,Prim Ecol and Soc. Behavior ANT436H1-S-LEC0101,Lehman,Shawn,Winter,2018,4.1,4.3,4.5,3.9,3.9,4.1,4.6,2.5,4.2,22,10
ANT,ARTSC,Ant of Material Cult ANT457H1-S-LEC0101,Forni,Silvia,Winter,2018,4,3.8,4.2,3.7,4,3.8,4,3.2,3.8,13,6
ANT,ARTSC,Body Self & Sociality ANT476H1-S-LEC0101,Boddy,Janice,Winter,2018,4.4,4.2,4.4,4.6,4.2,4.2,4.4,3.4,4.8,13,5
ANT,ARTSC,Archaeological Lab ARH312Y1-Y-LEC0101,Patton,Anna,Winter,2018,4.4,4.6,4.8,4.2,4.4,4.4,4.8,3.2,4.4,14,5
ANT,ARTSC,Anthro & Indigenous Peoples ANT388H1-F-LEC0101,Maxwell,Krista,Fall,2017,4.3,4.5,4.1,3.5,3.4,3.5,4.6,3.9,3.6,11,8
ANT,ARTSC,Medical Anthro: Socio-Cultural ANT348H1-F-LEC0101,Maxwell,Krista,Fall,2017,3.9,4,3.7,3.3,3.4,3.4,3.4,3.7,3.2,46,32
ANT,ARTSC,Reading Ethnography ANT475H1-F-LEC0101,Boddy,Janice,Fall,2017,4.6,4.6,5,4.8,4.8,4.8,5,3.6,4.8,10,5
ANT,ARTSC,Primate Cons Biology ANT430H1-F-LEC0101,Bolt,Laura,Fall,2017,4.7,4.6,4.8,4.8,4.7,4.5,4.7,3.3,4.6,14,13
ANT,ARTSC,Intro Archaeology ANT200Y1-Y-LEC0101,Chazan,Michael,Fall,2017,3.8,4.1,3.8,3.6,3.8,3.5,3.9,3.1,3.6,132,41
ANT,ARTSC,Archaeological Inter ARH305H1-F-LEC0101,Coupland,Gary,Fall,2017,3.8,4,4.5,4.2,4,4,4.2,2.8,3.8,22,6
ANT,ARTSC,Language & Society ANT253H1-F-LEC0101,Danesi,Marcel,Fall,2017,3.9,4,4.2,3.9,3.9,3.9,4.4,2.6,4.1,426,129
ANT,ARTSC,Emerging Schol Evo ANT438H1-F-LEC5101,Eastham,Laura,Fall,2017,4.7,4.7,4.9,4.5,4.7,4.6,4.9,3.1,4.8,17,15
ANT,ARTSC,Arch Ethics & Public ARH309H1-F-LEC0101,Jennings,Justin,Fall,2017,4.7,4.7,4.8,4.3,4.3,4.5,4.8,2.7,4.5,29,8
ANT,ARTSC,Core Concepts Social ANT207H1-F-LEC0101,Li,Tania,Fall,2017,3.8,4,4,3.7,3.8,3.5,4.1,3.4,3.4,146,75
ANT,ARTSC,Lang Power Structure ANT329H1-F-LEC0101,Luong,Hy,Fall,2017,4.6,4.4,4.4,4.1,4.2,4.1,4.4,2.9,4.3,49,16
ANT,ARTSC,Human Evolution ANT335Y1-Y-LEC0101,Nargolwalla,Mariam,Fall,2017,4.4,4.4,4.7,4.1,4,4.2,4.6,3.2,4.2,35,32
ANT,ARTSC,Arch East N Amer ANT317H1-F-LEC5101,Patton,Anna,Fall,2017,4.2,4.2,5,4,3.7,4,5,3,4.2,19,6
ANT,ARTSC,Special Topics ANT480H1-F-LEC0101,Sammons,Edward,Fall,2017,4.4,4.4,4.1,4.2,4.4,4,4.2,3.3,3.9,14,9
ANT,ARTSC,Gift Money Finance ANT378H1-F-LEC0101,Song,Jesook,Fall,2017,3.4,3.5,3.1,3.1,3.4,3,3.6,2.9,2.9,29,8
ANT,ARTSC,Preindustrial City ANT318H1-F-LEC0101,Swenson,Edward,Fall,2017,3.6,3.6,3.6,3.6,3.4,3.2,3.3,3.8,3.2,28,9
ANT,ARTSC,Ant of Contemp World ANT204H1-S-LEC0101,Song,Jesook,Winter,2016,2.7,2.8,2.1,2.8,2.9,2.4,2.5,2.3,2.4,292,94
ANT,ARTSC,Ant of Material Cult ANT457H1-S-LEC0101,Forni,Silvia,Winter,2016,4.6,4.6,4.9,4.8,4.8,4.8,5,3.2,4.6,18,11
ANT,ARTSC,Ant of Religion ANT356H1-S-LEC0101,Gillison,Gillian,Winter,2016,3.8,3.4,2.9,3,3.4,3,3.3,3.4,2.9,52,16
ANT,ARTSC,Ant of Youth Culture ANT322H1-S-LEC0101,Danesi,Marcel,Winter,2016,3.9,4,4.4,3.5,3.5,3.9,4.6,2.5,4.4,206,60
ANT,ARTSC,Anthropology of Activism ANT366H1-S-LEC5101,Solana,Vivian,Winter,2016,3.8,3.8,3.8,3.9,4,3.5,4.3,3.1,3.7,62,32
ANT,ARTSC,Arch Ethics & Public ARH309H1-S-LEC0101,Jennings,Justin,Winter,2016,4.6,4.7,4.7,4.2,4.1,4.6,4.6,3,4.4,52,24
ANT,ARTSC,Arch of North America ANT319Y1-Y-LEC0101,Patton,Anna,Winter,2016,4.9,4.9,4.9,4.7,4.7,4.8,4.9,3.2,4.9,24,13
ANT,ARTSC,Archaeological Lab ARH312Y1-Y-LEC0101,Patton,Anna,Winter,2016,3.4,3.5,4.3,3.5,3.5,3.2,4.1,3.2,3.3,23,13
ANT,ARTSC,Adv Archaeol Theory ANT411H1-S-LEC0101,Hubert,Erell,Winter,2016,4.1,4.3,4.2,4.1,4.1,3.9,4,3.8,3.3,18,15
ANT,ARTSC,Intro Anthropology ANT100Y1-Y-LEC5101 (A),Lehman,Shawn,Summer,2016,3.5,3.5,3.7,3.3,3.3,3.2,N/A,N/A,N/A,61,15
ANT,ARTSC,Intro Anthropology ANT100Y1-Y-LEC5101 (B),Clark,Dylan,Summer,2016,4.1,4.2,4.2,3.6,3.7,3.8,4.2,3.5,3.9,57,17
ANT,ARTSC,Intro Archaeology ANT200Y1-Y-LEC5101,Gregg,Michael,Summer,2016,4.9,4.8,4.8,4.7,4.8,4.6,4.7,3.3,4.8,24,11
ANT,ARTSC,Ant of Contemp World ANT204H1-F-LEC0101,Yang,Sun,Summer,2016,3.7,3.3,3.5,3.3,3.8,3.2,N/A,N/A,N/A,55,18
ANT,ARTSC,Core Concepts Social ANT207H1-S-LEC0101,Taylor,Jessica,Summer,2016,4.1,4.3,4.6,4.1,4,4.2,4.4,3.3,4.1,52,16
ANT,ARTSC,Language & Society ANT253H1-S-LEC0101,Danesi,Marcel,Summer,2016,4.2,4.2,4.4,4.3,4.4,4.2,4.7,2.6,4.7,109,36
ANT,ARTSC,Social Ant of Gender ANT343H1-S-LEC5101,Nixon,Kevin,Summer,2016,3.9,4.1,4.1,4,3.9,3.8,4.2,3.7,3.9,25,9
ANT,ARTSC,Anthropology of Food ANT346H1-F-LEC5101,Clark,Dylan,Summer,2016,4.6,4.5,4.1,4,3.9,4,N/A,N/A,N/A,34,11
ANT,ARTSC,Medical Anthro: Socio-Cultural ANT348H1-S-LEC0101,Maxwell,Krista,Summer,2016,4.3,4.3,4.4,4.4,4.4,4.2,4.5,3.5,4.2,14,11
ANT,ARTSC,Contested Environ ANT351H1-F-LEC0101,Gonzalez,Columba,Summer,2016,3.7,3.3,3.3,3,3.4,2.8,N/A,N/A,N/A,14,12
ANT,ARTSC,Arch Field Methods ARH306Y1-F-LEC0101,Duffy,Paul,Summer,2016,4.1,4.5,4.8,3.6,3.7,4,N/A,N/A,N/A,21,11
ANT,ARTSC,Arch Field Methods ARH306Y1-F-LEC0101,Stewart,Sarah,Summer,2016,4.1,4.5,3.9,3.6,3.7,4,N/A,N/A,N/A,21,11
ANT,ARTSC,Intro Archaeology ANT200Y1-Y-LEC0101,Chazan,Michael,Fall,2016,4.1,4.1,4.1,4.1,4.1,3.8,4.1,3.2,3.9,132,42
ANT,ARTSC,Nature of Humans ANT203Y1-Y-LEC5101,Gamble,Julia,Fall,2016,4,4.1,4.2,3.8,3.8,3.9,4.1,3,3.9,150,50
ANT,ARTSC,Core Concepts Social ANT207H1-F-LEC0101,Li,Tania,Fall,2016,3.8,3.9,4,3.8,3.8,3.6,4,3.3,3.4,168,50
ANT,ARTSC,Med Ant Evol Perspec ANT208H1-F-LEC0101,Gamble,Julia,Fall,2016,3.6,3.8,3.5,3.3,3.3,3.3,3.8,3,3.6,330,114
ANT,ARTSC,Anc Cult MesoAmerica ANT316H1-F-LEC0101,Swenson,Edward,Fall,2016,4.1,4.5,4.4,4.7,4.7,3.9,4.7,3.3,4.2,23,15
ANT,ARTSC,Arch East N Amer ANT317H1-F-LEC5101,Patton,Anna,Fall,2016,4.2,4.4,5,4.7,4.7,4,4.3,3.2,4.3,17,6
ANT,ARTSC,Ant of Youth Culture ANT322H1-F-LEC0101,Danesi,Marcel,Fall,2016,3.7,3.7,4,3.4,3.3,3.9,4.4,2.3,4.1,100,24
ANT,ARTSC,Lang Power Structure ANT329H1-F-LEC0101,Luong,Hy,Fall,2016,4.4,4.4,4.3,4.2,4.1,4,4.6,2.7,4.1,42,14
ANT,ARTSC,Human Skeletal Biol ANT334H1-F-LEC0101,Beresheim,Amy,Fall,2016,4.1,4.1,3.7,3.5,3.6,3.1,4,4.6,2.9,25,18
ANT,ARTSC,Human Evolution ANT335Y1-F-LEC0101,Begun,David,Fall,2016,4.3,4.1,3.6,3.4,3,3.4,3.9,3.5,3.1,18,8
ANT,ARTSC,Molecular Anthro & Human Evo ANT338H1-F-LEC0101,Viola,T.,Fall,2016,3.8,3.6,3.8,3.1,3.3,2.8,4.4,3.5,3.1,30,21
ANT,ARTSC,Social Ant of Gender ANT343H1-F-LEC0101,Dave,Prakruti,Fall,2016,4.8,4.7,4.7,4.2,4.2,4.3,4.7,4.1,4.3,55,27
ANT,ARTSC,Intro Soc Ant Theory ANT370H1-F-LEC0101,Bright,Kristin,Fall,2016,4.4,4.4,4.6,4.1,4.3,4.2,4.7,3.5,4.2,40,21
ANT,ARTSC,Rethink Development ANT374H1-F-LEC0101,Li,Tania,Fall,2016,4.5,4.6,4.6,4.3,4.1,4.4,4.4,3.5,4.2,41,19
ANT,ARTSC,Gift Money Finance ANT378H1-F-LEC0101,Song,Jesook,Fall,2016,3.6,3.9,3.9,4.1,4,3.7,3.8,2.9,3.9,24,8
ANT,ARTSC,Spec Top: Soc Cult & Lang ANT384H1-F-LEC0101,Maxwell,Krista,Fall,2016,4.5,4.8,4.1,4.1,4,4.2,4.3,3.9,4,15,10
ANT,ARTSC,Arch Ritual & Identity ANT416H1-F-LEC0101,Swenson,Edward,Fall,2016,4.3,4.7,4.7,4.5,4.5,4.4,4.7,3.8,4,23,12
ANT,ARTSC,Love Sex & Marriage ANT441H1-F-LEC0101,Bright,Kristin,Fall,2016,4.9,4.9,4.6,4.9,4.8,4.8,5,3.6,4.6,22,13
ANT,ARTSC,Anthr and Human Rights ANT452H1-F-LEC0101,Levin,Michael,Fall,2016,4.6,5,4.2,4.6,4.8,4.3,4.2,3.4,4.6,15,5
ANT,ARTSC,Settler-Colonialism ANT458H1-F-LEC0101,Maxwell,Krista,Fall,2016,5,5,4.6,4.8,5,4.8,4.8,4,5,6,5
ANT,ARTSC,Body Self & Sociality ANT476H1-F-LEC0101,Boddy,Janice,Fall,2016,5,4.8,4.8,4.3,4,4.7,4.5,3.8,4.5,13,6
ANT,ARTSC,Spec Top: Bio Anthro ANT481H1-F-LEC0101,Gamble,Julia,Fall,2016,3.8,4.4,4.5,4.2,4.3,3.7,4.3,3.8,3.7,16,12
ANT,ARTSC,Spec Topic Soc Cult ANT484H1-F-LEC0101,Majumder,Atreyee,Fall,2016,4.3,4.3,4.4,3.7,3.7,3.5,4.3,3.9,3.7,14,7
ANT,ARTSC,Archaeological Inter ARH305H1-F-LEC0101,Coupland,Gary,Fall,2016,4.3,4.5,4.5,4.3,4.1,4.1,4.3,3.4,3.9,31,9
ANT,ARTSC,Arch Ethics & Public ARH309H1-F-LEC0101,Jennings,Justin,Fall,2016,4.5,4.6,4.6,4.2,4.3,4.1,4.5,2.7,4.1,29,11
ANT,ARTSC,Intro Anthropology ANT100Y1-Y-LEC2501,Friesen,T,Winter,2017,3.5,4.1,3.6,3.1,3.1,3.5,3.8,2.2,3.3,49,10
ANT,ARTSC,Intro Anthropology ANT100Y1-Y-LEC2501,Kalmar,Ivan,Winter,2017,3.5,4.1,3.8,3.1,3.1,3.5,4,2.2,3.3,49,10
ANT,ARTSC,Intro Anthropology ANT100Y1-Y-LEC2501,Lehman,Shawn,Winter,2017,3.5,4.1,3.8,3.1,3.1,3.5,4,2.2,3.3,49,10
ANT,ARTSC,Intro Anthropology ANT100Y1-Y-LEC5101,Friesen,T,Winter,2017,3.67,3.91,3.53,3.51,3.64,3.44,3.37,2.89,3.58,806,309
ANT,ARTSC,Intro Anthropology ANT100Y1-Y-LEC5101,Kalmar,Ivan,Winter,2017,3.67,3.91,4.2,3.51,3.64,3.44,4.23,2.89,3.58,806,309
ANT,ARTSC,Intro Anthropology ANT100Y1-Y-LEC5101,Lehman,Shawn,Winter,2017,3.67,3.91,4.21,3.51,3.64,3.44,4.32,2.89,3.58,806,309
ANT,ARTSC,Intro Archaeology ANT200Y1-Y-LEC0101,Patton,Anna,Winter,2017,3.9,4,4,3.9,3.8,3.6,3.7,3.3,3.7,124,45
ANT,ARTSC,Nature of Humans ANT203Y1-Y-LEC5101,Viola,T.,Winter,2017,3.8,3.7,3.2,3.1,2.9,2.9,3.5,3.3,2.9,137,55
ANT,ARTSC,Ant of Contemp World ANT204H1-S-LEC0101,Bright,Kristin,Winter,2017,3.4,3.4,3.1,3.3,3.4,2.9,3.5,3.8,2.8,268,85
ANT,ARTSC,Language & Society ANT253H1-S-LEC0101,Danesi,Marcel,Winter,2017,3.6,3.73,3.85,3.53,3.62,3.42,4.35,2.77,3.73,447,107
ANT,ARTSC,Arch Pacific Nwest ANT314H1-S-LEC0101,Coupland,Gary,Winter,2017,3.9,4,4,3.9,3.9,3.3,4,2.9,3.6,24,8
ANT,ARTSC,Diversity ANT327H1-S-LEC0101,McElhinny,Bonnie,Winter,2017,4.2,4.4,3.9,3.8,4,3.4,3.8,3.9,3.7,35,11
ANT,ARTSC,Liv Primate Adapt ANT333Y1-Y-LEC0101,Lehman,Shawn,Winter,2017,4.3,4.4,4,3.8,3.7,3.8,4.7,3.3,4.2,27,16
ANT,ARTSC,Evol Anth Theory ANT336H1-S-LEC0101,Viola,T.,Winter,2017,3.8,3.9,3.9,3.4,3.3,3.6,4.1,3.4,3.1,33,15
ANT,ARTSC,China in Transition ANT341H1-S-LEC0101,Sung,Wen-Ching,Winter,2017,4.1,4.5,4.3,4.2,4.1,4.1,4.3,3.1,4.2,43,23
ANT,ARTSC,Glob Hlth Anth Persp ANT345H1-S-LEC0101,Bright,Kristin,Winter,2017,4.1,4,4.1,3.9,3.6,3.9,4.4,4.1,3.6,58,16
ANT,ARTSC,Ant of Religion ANT356H1-S-LEC0101,Gillison,Gillian,Winter,2017,4,3.8,3,3.1,3.4,3.2,3.2,3,3.2,50,27
ANT,ARTSC,Human Nutrition Ecol ANT371H1-S-LEC0101,Gamble,Julia,Winter,2017,3.8,4,4.3,3.8,3.9,3.9,4.2,3,3.7,64,25
ANT,ARTSC,Craft Soc Cult Ant ANT380H1-S-LEC0101,Satsuka,Shiho,Winter,2017,4.6,4.7,4.3,4.4,4.3,4.4,4.6,3.9,4.7,16,11
ANT,ARTSC,Topics in Anthro ANT390H1-S-LEC0101,Majumder,Atreyee,Winter,2017,5,4.6,4.8,4.6,4.6,4.6,4.2,3.6,4.6,10,5
ANT,ARTSC,Adv Archaeol Theory ANT411H1-S-LEC0101,Swenson,Edward,Winter,2017,4.3,4,3.8,3.7,3.8,3.6,4.3,4.6,3.1,17,12
ANT,ARTSC,Faunal Archaeo - Osteo ANT415Y1-Y-LEC0101,Friesen,T,Winter,2017,5,5,5,5,4.9,5,5,4.6,5,11,8
ANT,ARTSC,Arch of Inequality ANT420H1-S-LEC0101,Coupland,Gary,Winter,2017,3.7,3.9,4,4.1,4.2,3.7,4,2.6,4.1,21,10
ANT,ARTSC,Lang Ideo Polit Econ ANT427H1-S-LEC0101,Riskedahl,Diane,Winter,2017,4.2,4.1,4.4,4.6,4.4,4,4.7,3.2,4.2,12,9
ANT,ARTSC,Health Diet & Dis ANT434H1-S-LEC0101,Gamble,Julia,Winter,2017,4.3,4.4,4.1,3.9,4,3.9,4.1,3.5,4,21,13
ANT,ARTSC,Anthropol Childcare ANT435H1-S-LEC0101,Gamble,Julia,Winter,2017,3.8,3.8,3.9,3.9,3.7,3.4,3.7,3.1,3.7,20,9
ANT,ARTSC,Emerging Schol Bio ANT438H1-S-LEC5101,Badescu,Iulia,Winter,2017,3.9,4,4,3.8,3.7,3,4.3,3.2,3.6,22,12
ANT,ARTSC,Science as Cult&Prac ANT445H1-S-LEC0101,Satsuka,Shiho,Winter,2017,4.71,4.71,4.71,4.33,4.67,4.43,4.29,3.71,3.86,9,7
ANT,ARTSC,Anthro of Affect ANT462H1-S-LEC5101,Dave,Prakruti,Winter,2017,4.5,4.4,4.5,4.5,4.6,4.1,4.7,3.5,4.4,21,11
ANT,ARTSC,Ethnographies of HIV ANT474H1-S-LEC0101,Wardlow,Holly,Winter,2017,4.9,4.9,5,4.9,4.9,4.8,4.9,3.3,4.8,18,8
ANT,ARTSC,Reading Ethnography ANT475H1-S-LEC0101,Boddy,Janice,Winter,2017,4.2,4.7,4.7,4.5,4.5,4.3,4,3.8,4.3,12,6
ANT,ARTSC,Spec Topics: Ant Research ANT480Y1-Y-LEC0101,Patton,Anna,Winter,2017,4.7,4.8,4.7,4.4,4.4,4.9,4.8,3.8,4.8,11,9
ANT,ARTSC,Emerging Schol Scl ANT485H1-S-LEC5101,Gagne,Mathew,Winter,2017,4.86,4.57,4.57,4.43,4.43,4.17,4.43,3.57,4.14,9,7
ANT,ARTSC,Archaeological Lab ARH312Y1-Y-LEC0101,Patton,Anna,Winter,2017,3,3.5,4.1,3.3,3.3,2.9,3.9,3.3,2.9,26,8
ANT,ARTSC,Prehistory Near East ARH360H1-S-LEC0101,Chazan,Michael,Winter,2017,4.5,4.5,4.5,4.2,4,4,4.7,3.5,4.2,20,6
